title,artist(s),release,num_of_streams,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Falling,Harry Styles,2019,1023187129,110,E,Major,57,6,27,84,0,9,3
Revenge,XXXTENTACION,2017,1022258230,140,B,Minor,75,18,25,78,0,11,26
Anti-Hero,Taylor Swift,2022,999748277,97,E,Major,64,51,63,12,0,19,5
Arcade,Duncan Laurence,2019,991336132,72,A,Minor,45,27,33,82,0,14,4
Glimpse of Us,Joji,2022,988515741,170,G-sharp,Major,44,27,32,89,0,14,5
Summertime Sadness,Lana Del Rey,2011,983637508,112,C-sharp,Minor,56,24,66,7,0,12,3
Where Are You Now,Lost Frequencies . Calum Scott,2021,972509632,121,F-sharp,Minor,67,26,64,52,0,17,10
I Love You So,The Walters,2014,972164968,76,A-sharp,Major,58,46,67,65,0,13,4
No Lie,Sean Paul . Dua Lipa,2016,956865266,102,G,Major,74,45,89,5,0,26,13
HEARTBREAK ANNIVERSARY,Giveon,2020,951637566,129,unknown,Major,61,59,46,56,0,13,5
Sure Thing,Miguel,2010,950906471,81,B,Minor,68,51,60,3,0,19,10
Unstoppable,Sia,2016,939844851,174,A,Major,47,27,78,11,0,10,8
Get Lucky - Radio Edit,Pharrell Williams . Nile Rodgers . Daft Punk,2013,933815613,116,F-sharp,Minor,79,87,81,4,0,10,4
Under The Influence,Chris Brown,2019,929964809,117,A,Minor,73,31,69,6,0,11,4
Wait a Minute!,Willow,2015,924193303,101,D-sharp,Minor,76,63,71,3,0,10,3
THATS WHAT I WANT,Lil Nas X,2021,920797189,88,C-sharp,Minor,74,55,85,1,0,5,22
Dark Red,Steve Lacy,2017,920045682,172,F-sharp,Major,60,77,78,45,0,12,6
Stan,Eminem . Dido,1999,918915401,80,F-sharp,Minor,78,53,74,4,0,45,21
Moscow Mule,Bad Bunny,2022,909001996,100,F,Minor,80,29,67,29,0,12,3
Infinity,Jaymes Young,2017,888046992,122,B,Minor,67,50,67,15,0,30,4
Heartless,Kanye West,2008,887906111,88,A-sharp,Minor,79,66,65,5,0,25,14
PROVENZA,Karol G,2022,885093467,111,C-sharp,Major,87,53,52,66,1,11,5
Lover,Taylor Swift,2012,882831184,206,G,Major,43,50,55,50,0,15,10
Streets,Doja Cat,2019,865640097,90,B,Major,75,19,46,21,4,34,8
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton . Nightcrawlers . Mufasa & Hypeman . Dopamine,2021,863756573,123,D,Major,82,80,86,1,0,30,13
MONEY,Lisa,2021,863625566,140,C-sharp,Minor,83,40,55,16,0,14,23
happier,Olivia Rodrigo,2021,850608354,169,F-sharp,Major,39,36,45,81,0,8,13
Creepin',The Weeknd . 21 Savage . Metro Boomin,2022,843957510,98,C-sharp,Minor,71,17,61,36,0,8,5
The Next Episode,Dr. Dre . Snoop Dogg,1999,843309044,95,D-sharp,Minor,92,31,89,3,0,8,25
Apocalypse,Cigarettes After Sex,2017,841749534,94,F,Major,37,17,47,2,46,11,3
Dream On,Aerosmith,1973,838586769,80,F,Minor,39,24,43,39,0,23,3
Bones,Imagine Dragons,2021,838079900,114,F,Minor,77,65,72,2,0,7,5
Santa Tell Me,Ariana Grande,2013,834129063,133,G,Major,46,53,63,5,0,30,18
Good Days,SZA,2020,826623384,121,C-sharp,Minor,46,53,78,23,0,72,6
Freaks,Surf Curse,2015,824420218,180,A,Major,35,41,94,0,63,5,5
Bad Habit,Steve Lacy,2022,822633917,169,C-sharp,Major,69,69,51,63,0,38,4
Lost,Frank Ocean,2012,822239726,123,A-sharp,Minor,91,49,61,3,0,17,22
cardigan,Taylor Swift,2020,812019557,130,unknown,Minor,61,53,58,55,0,27,4
Desesperados,Chencho Corleone . Rauw Alejandro,2021,809306935,90,C-sharp,Minor,87,51,69,36,0,9,8
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,2011,807561936,93,E,Major,35,38,23,91,0,29,3
Golden,Harry Styles,2019,807015863,140,E,Minor,45,25,84,21,0,13,6
Pink + White,Frank Ocean,2016,806397070,160,A,Major,54,54,55,67,0,42,11
Cruel Summer,Taylor Swift,2019,800840817,170,A,Major,55,58,72,11,0,11,15
RAPSTAR,Polo G,2021,797402345,81,F-sharp,Major,79,44,54,41,0,13,24
Levitating,Dua Lipa,2020,797196073,103,F-sharp,Minor,69,90,88,5,0,29,8
Space Song,Beach House,2015,789753877,147,unknown,Minor,51,62,79,22,13,14,3
Style,Taylor Swift,2014,786181836,95,D,Major,60,48,79,0,0,12,4
favorite crime,Olivia Rodrigo,2021,783706581,173,A,Major,40,19,29,86,0,34,4
Bored,Billie Eilish,2017,777765388,120,G,Major,60,11,33,90,0,8,5
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Julieta Venegas . Bad Bunny . Tainy,2021,775542072,170,E,Minor,64,14,70,9,0,9,8
Rockin' Around The Christmas Tree,Brenda Lee,1958,769213520,140,G-sharp,Major,70,85,41,71,0,45,5
La Santa,Daddy Yankee . Bad Bunny,2020,759208783,93,C-sharp,Major,74,59,87,3,0,8,5
Bam Bam (feat. Ed Sheeran),Camila Cabello . Ed Sheeran,2022,756907987,95,G-sharp,Major,76,96,70,18,0,33,4
golden hour,JVKE,2022,751134527,94,C-sharp,Minor,51,14,59,65,18,25,3
Late Night Talking,Harry Styles,2022,743693613,115,A-sharp,Major,71,90,73,30,0,11,5
Jingle Bell Rock,Bobby Helms,1957,741301563,119,D,Major,74,78,37,84,0,6,3
love nwantiti (ah ah ah),Ckay,2019,726837877,93,F,Minor,74,53,73,61,0,13,4
Until I Found You,Stephen Sanchez,2021,726434358,202,A-sharp,Major,34,25,51,69,0,18,4
SNAP,Rosa Linn,2022,726307468,170,unknown,Major,56,53,64,11,0,45,6
Ella Baila Sola,Eslabon Armado . Peso Pluma,2023,725980112,148,F,Minor,67,83,76,48,0,8,3
About Damn Time,Lizzo,2022,723894473,109,A-sharp,Minor,84,72,74,10,0,34,7
About Damn Time,Lizzo,2022,723894473,109,A-sharp,Minor,84,72,74,10,0,34,7
we fell in love in october,girl in red,2018,723043854,130,G,Major,57,24,37,11,18,16,3
Shakira: Bzrp Music Sessions . Vol. 53,Shakira . Bizarrap,2023,721975598,122,D,Minor,78,50,63,27,0,9,5
Left and Right (Feat. Jung Kook of BTS),Charlie Puth . BTS . Jung Kook,2022,720434240,101,D,Major,88,72,59,62,0,9,3
MAMIII,Karol G . Becky G,2022,716591492,94,E,Minor,84,90,70,9,0,14,8
SNAP,Rosa Linn,2022,711366595,170,unknown,Major,56,52,64,11,0,45,7
I Was Never There,The Weeknd . Gesaffelstein,2018,705469769,114,A-sharp,Major,32,17,74,14,0,17,3
Master of Puppets (Remastered),Metallica,1986,704171068,105,E,Minor,54,59,83,0,44,20,4
Bound 2,Kanye West,2013,703301727,149,C-sharp,Major,37,28,66,14,0,9,5
After Hours,The Weeknd,2020,698086140,109,F,Minor,66,16,57,10,1,12,3
First Class,Jack Harlow,2022,694525298,107,G-sharp,Major,91,32,56,3,0,11,10
Snowman,Sia,2017,690104769,105,C-sharp,Major,72,33,51,48,0,9,3
Lost in the Fire,The Weeknd . Gesaffelstein,2019,686734357,101,D,Major,66,18,68,9,0,12,4
A Tu Merced,Bad Bunny,2020,685071800,92,unknown,Major,86,89,79,17,0,11,6
Reminder,The Weeknd,2016,684675814,160,G-sharp,Major,71,40,50,16,0,16,22
Romantic Homicide,d4vd,2022,681583126,132,F-sharp,Major,56,20,55,45,1,32,3
Cool for the Summer,Demi Lovato,2015,677389855,114,F,Minor,59,30,62,1,0,8,4
Forgot About Dre,Eminem . Dr. Dre,1999,675039469,134,G-sharp,Major,93,61,74,9,0,17,8
Do It To It,Cherish . ACRAZE,2021,674772936,125,B,Minor,85,64,81,2,5,7,9
Hey Mor,Ozuna . Feid,2022,674072710,98,C-sharp,Minor,90,40,59,0,0,10,29
You Right,Doja Cat . The Weeknd,2021,672656250,129,G-sharp,Major,83,44,62,2,0,8,6
Neverita,Bad Bunny,2022,671365962,122,A-sharp,Major,88,43,50,7,0,14,5
jealousy . jealousy,Olivia Rodrigo,2021,665765558,164,A-sharp,Minor,70,71,58,24,0,7,13
It's the Most Wonderful Time of the Year,Andy Williams,1963,663832097,202,G,Major,24,76,60,77,0,12,4
Gasolina,Daddy Yankee,2004,657723613,96,unknown,Major,86,74,80,33,0,8,6
Superman,Eminem . Dina Rae,2002,655466831,130,E,Minor,80,64,76,2,0,20,6
Sunroof,Nicky Youre . Dazy,2021,652704649,131,A-sharp,Major,77,84,71,35,0,15,4
Leave Before You Love Me (with Jonas Brothers),Marshmello . Jonas Brothers,2021,651732901,120,G,Major,72,67,72,0,0,13,4
After Dark,Mr.Kitty,2014,646886885,140,G-sharp,Major,58,4,60,7,41,8,3
Here With Me,d4vd,2022,635412045,132,E,Major,58,27,48,50,0,12,3
Mistletoe,Justin Bieber,2011,629173063,162,F-sharp,Minor,67,88,54,51,0,9,4
2055,Sleepy hallow,2021,624515457,161,F-sharp,Minor,78,65,52,46,0,12,31
Sparks,Coldplay,2000,624101957,103,C-sharp,Major,37,17,27,75,5,10,3
Enchanted,Taylor Swift,2010,621660989,164,G-sharp,Major,45,24,62,8,0,16,3
TQG,Karol G . Shakira,2023,618990393,180,E,Minor,72,61,63,67,0,9,28
Jimmy Cooks (feat. 21 Savage),Drake . 21 Savage,2022,618885532,163,unknown,Major,54,40,67,0,0,9,17
Party,Bad Bunny . Rauw Alejandro,2022,614555082,97,A,Major,83,47,80,2,0,24,9
Moth To A Flame (with The Weeknd),The Weeknd . Swedish House Mafia,2021,611994237,120,unknown,Minor,56,16,67,0,0,11,4
Stargirl Interlude,The Weeknd . Lana Del Rey,2016,611700552,90,F,Minor,59,52,48,38,5,10,11
Volando - Remix,Sech . Bad Bunny . Mora,2021,610045621,154,F-sharp,Major,66,63,69,21,0,11,7
I Like You (A Happier Song) (with Doja Cat),Post Malone . Doja Cat,2022,609293408,101,F,Major,74,43,69,12,0,12,7
Permission to Dance,BTS,2021,608334048,125,A,Major,70,65,74,1,0,34,4
Tarot,Bad Bunny . Jhay Cortez,2022,608228647,114,B,Minor,80,42,68,2,0,66,4
august,Taylor Swift,2020,607123776,90,F,Major,51,42,61,53,0,9,3
Te Felicito,Shakira . Rauw Alejandro,2022,606361689,174,F,Major,70,57,64,23,0,8,32
Until I Found You (with Em Beihold) - Em Beihold Version,Em Beihold . Stephen Sanchez,2022,600976848,101,A-sharp,Major,34,32,57,78,0,20,3
Softcore,The Neighbourhood,2018,599770206,94,D,Major,57,36,58,5,0,15,3
Knife Talk (with 21 Savage ft. Project Pat),Drake . Project Pat . 21 Savage,2021,594482982,146,F,Minor,85,22,37,13,0,7,30
Fair Trade (with Travis Scott),Drake . Travis Scott,2021,593917618,168,C-sharp,Major,67,29,47,5,0,22,26
Only Love Can Hurt Like This,Paloma Faith,2014,588955257,91,G-sharp,Major,57,30,89,10,0,33,8
Yandel 150,Yandel . Feid,2022,585695368,168,F-sharp,Minor,78,58,73,5,0,10,7
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2021,583687007,93,unknown,Major,63,21,52,28,0,9,3
Toxic,BoyWithUke,2021,582981380,180,G-sharp,Minor,59,69,61,84,0,46,36
House Of Memories,Panic! At The Disco,2016,582863434,110,B,Minor,51,48,82,0,0,5,3
California Love - Original Version (Explicit),Dr. Dre . 2Pac . Roger,1995,579395142,92,G,Major,77,76,84,3,0,38,4
Mon Amour - Remix,Aitana . zzoilo,2020,578207856,116,D,Major,75,36,76,12,0,10,10
Rich Flex,Drake . 21 Savage,2022,573633020,153,B,Minor,56,42,52,5,0,36,24
Atlantis,Seafret,2015,571386359,166,G-sharp,Minor,40,23,48,5,0,12,3
Angels Like You,Miley Cyrus,2020,570515054,122,F,Major,67,49,64,10,0,10,3
Still Don't Know My Name,Labrinth,2019,563902868,88,F,Major,31,31,63,47,27,21,12
family ties (with Kendrick Lamar),Kendrick Lamar . Baby Keem,2021,560222750,134,C-sharp,Major,71,14,61,1,0,23,33
WAIT FOR U (feat. Drake & Tems),Drake . Future . Tems,2022,556585270,83,C-sharp,Major,46,34,64,31,0,7,34
Formula,Labrinth,2019,554875730,145,B,Major,57,23,66,4,6,15,4
La Bebe - Remix,Peso Pluma . Yng Lvcas,2023,553634067,170,D,Minor,81,56,48,21,0,8,33
Pink Venom,BLACKPINK,2022,551305895,90,unknown,Major,80,71,69,2,0,27,10
Envolver,Anitta,2021,546191065,92,E,Minor,81,40,73,15,0,9,8
Es un Secreto,Plan B,2010,540654286,95,F-sharp,Minor,84,52,77,12,0,7,4
Love Nwantiti - Remix,Ckay . AX'EL . Dj Yo!,2019,540539717,120,G-sharp,Major,58,44,60,44,9,5,6
One Right Now (with The Weeknd),The Weeknd . Post Malone,2021,539595276,97,C-sharp,Major,68,72,78,4,0,7,5
La Jumpa,Arcangel . Bad Bunny,2022,538115192,123,G-sharp,Major,71,58,70,30,0,32,19
Escapism.,RAYE . 070 Shake,2022,532336353,96,D,Major,54,25,74,14,0,9,11
Meet Me At Our Spot,THE ANXIETY . Willow . Tyler Cole,2020,530511203,95,D,Major,77,40,47,2,0,9,3
AM Remix,J Balvin . Nio Garcia . Bad Bunny,2021,528544703,172,F-sharp,Minor,74,79,66,11,0,8,16
Yo Voy (feat. Daddy Yankee),Zion & Lennox,2004,527033089,95,A-sharp,Major,81,56,70,4,0,5,24
Die For You - Remix,Ariana Grande . The Weeknd,2023,518745108,67,C-sharp,Minor,53,50,53,23,0,44,7
Get Into It (Yuh),Doja Cat,2021,516784627,92,G-sharp,Minor,91,79,66,32,0,9,16
Sobrio,Maluma,2021,513643924,178,F,Major,76,63,77,14,0,15,22
Tacones Rojos,Sebastian Yatra,2021,510876816,123,B,Minor,75,93,86,8,0,14,3
Sky,Playboi Carti,2020,506778838,140,D,Major,79,56,91,26,0,13,21
un x100to,Bad Bunny . Grupo Frontera,2023,505671438,83,F-sharp,Minor,57,56,72,23,0,27,5
Made You Look,Meghan Trainor,2022,502574952,145,A-sharp,Major,84,88,53,35,0,8,7
Life Goes On,Oliver Tree,2020,501541661,80,unknown,Major,70,57,49,19,0,12,8
Light Switch,Charlie Puth,2022,500340342,184,F-sharp,Major,69,91,63,11,0,9,31
Ain't Shit,Doja Cat,2021,499710590,124,D-sharp,Major,86,62,49,51,0,35,21
Swim,Chase Atlantic,2017,498960285,120,G-sharp,Major,67,8,54,27,0,8,4
Miss You,Robin Schulz . Oliver Tree,2022,497225336,145,F-sharp,Minor,59,20,74,1,0,15,5
Cupid - Twin Ver.,Fifty Fifty,2023,496795686,120,B,Minor,78,76,59,43,0,34,3
Boyfriend,Dove Cameron,2022,496311364,180,G,Minor,35,23,61,23,0,19,6
Way 2 Sexy (with Future & Young Thug),Drake . Future . Young Thug,2021,489945871,136,B,Minor,80,33,60,0,0,32,14
Lavender Haze,Taylor Swift,2022,488386797,97,A-sharp,Major,73,10,44,26,0,16,8
Underneath the Tree,Kelly Clarkson,2013,485285717,160,G-sharp,Major,51,69,81,0,0,21,5
Doja,Central Cee,2022,482257456,140,F-sharp,Major,91,97,57,38,0,40,29
Shut Down,BLACKPINK,2022,482175240,110,unknown,Major,82,67,69,0,0,18,4
Do They Know It's Christmas? - 1984 Version,Band Aid,1984,481697415,115,unknown,Major,60,23,57,0,2,27,3
Sex . Drugs . Etc.,Beach Weather,2016,480507035,144,E,Minor,57,47,84,1,1,52,4
La Corriente,Tony Dize . Bad Bunny,2022,479655659,196,B,Minor,66,58,79,23,0,22,20
LA INOCENTE,Feid . Mora,2022,477033549,92,F,Minor,76,46,79,31,0,7,6
Holly Jolly Christmas,Michael Bublï¿,2011,476244795,151,G,Major,65,70,47,87,0,9,4
Let It Snow! Let It Snow! Let It Snow!,Frank Sinatra . B. Swanson Quartet,1950,473248298,143,D,Major,60,86,32,88,0,34,6
LOKERA,Brray . Rauw Alejandro . Lyanno,2022,471819764,102,B,Minor,83,58,83,21,0,10,5
Mount Everest,Labrinth,2019,467727006,89,unknown,Minor,46,43,43,23,8,8,22
Lovers Rock,TV Girl,2014,466231982,105,F,Minor,56,57,87,0,1,10,4
Oh My God,Adele,2021,466214729,88,C-sharp,Major,53,55,73,9,0,3,5
AMG,Natanael Cano . Gabito Ballesteros . Peso Pluma,2022,463564958,136,B,Minor,77,79,73,15,0,27,10
Ferrari,James Hype . Miggy Dela Rosa,2022,462791599,125,C-sharp,Minor,84,70,69,1,0,5,5
NEW MAGIC WAND,Tyler . The Creator,2019,461437791,140,F,Minor,62,46,73,10,0,67,11
Happy Xmas (War Is Over),John Lennon . The Harlem Community Choir . The Plastic Ono Band . Yoko Ono,1971,460492795,147,D,Major,33,39,61,32,0,77,3
Normal,Feid,2022,459276435,170,E,Minor,71,59,56,4,0,27,12
Just Wanna Rock,Lil Uzi Vert,2022,457184829,150,B,Major,49,4,55,7,0,6,3
Something in the Orange,Zach Bryan,2022,449701773,110,G,Major,59,22,38,42,0,12,3
Murder In My Mind,Kordhell,2022,448843705,120,A-sharp,Major,71,57,97,1,0,13,11
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022,448500832,160,G-sharp,Minor,80,74,60,8,0,14,26
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1959,446390129,134,C-sharp,Major,45,72,24,91,0,18,4
Me and Your Mama,Childish Gambino,2016,445590495,118,F,Major,56,25,45,1,3,7,3
PRC,Natanael Cano . Peso Pluma,2023,436027885,138,G,Minor,78,89,83,10,0,12,5
Midnight Rain,Taylor Swift,2022,433356509,140,unknown,Major,64,18,37,72,0,12,7
We Don't Talk About Bruno,Adassa . Mauro Castillo . Stephanie Beatriz . Encanto - Cast . Rhenzy Feliz . Diane Guerrero . Carolina Gaitan,2021,432719968,206,unknown,Minor,58,83,45,36,0,11,8
Take My Breath,The Weeknd,2021,432702334,121,G-sharp,Major,75,53,74,2,0,11,5
OMG,NewJeans,2023,430977451,127,A,Minor,80,74,77,36,0,11,4
Last Night,Morgan Wallen,2023,429829812,204,F-sharp,Major,52,52,68,46,0,15,4
Driving Home for Christmas - 2019 Remaster,Chris Rea,1986,429504768,180,A,Major,51,87,58,36,0,18,4
Super Freaky Girl,Nicki Minaj,2022,428685680,133,D,Major,95,91,89,6,0,31,24
OUT OUT (feat. Charli XCX & Saweetie),Charli XCX . Jax Jones . Joel Corry . Saweetie,2021,427486004,124,G-sharp,Minor,79,79,84,2,0,5,5
All For Us - from the HBO Original Series Euphoria,Labrinth . Zendaya,2019,426204830,141,D-sharp,Major,37,17,67,2,0,34,9
Thunder,Prezioso . Gabry Ponte . LUM!X,2021,422691058,101,C-sharp,Major,67,40,90,3,0,34,6
Fuera del mercado,Danny Ocean,2022,421365166,92,G-sharp,Major,45,27,67,32,0,13,14
Notion,The Rare Occasions,2016,421135627,160,A,Major,31,30,88,7,0,8,8
Better Days (NEIKED x Mae Muller x Polo G),NEIKED . Mae Muller . Polo G,2021,421040617,110,unknown,Minor,72,67,68,0,0,14,4
Un Ratito,Bad Bunny,2022,417230415,93,unknown,Minor,79,22,55,31,0,12,5
The Color Violet,Tory Lanez,2021,415932686,105,F-sharp,Minor,65,46,53,16,0,9,5
Happier Than Ever - Edit,Billie Eilish,2021,412795151,81,unknown,Major,45,12,57,7,0,23,3
Those Eyes,New West,2019,411747614,120,E,Major,60,24,35,73,0,31,3
Angel Baby,Troye Sivan,2021,408843328,145,B,Major,56,41,57,1,0,13,3
Shut up My Moms Calling,Hotel Ugly,2020,405136812,139,A,Minor,48,37,41,32,0,10,10
No Se Va,Grupo Frontera,2022,404887295,173,unknown,Major,59,69,53,12,0,23,3
Sleigh Ride,The Ronettes,1963,404664135,92,D,Major,53,84,77,40,0,32,3
Karma,Taylor Swift,2022,404562836,90,G-sharp,Major,64,10,62,7,0,48,7
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1979,403939487,95,B,Major,75,74,58,36,0,9,3
Un Coco,Bad Bunny,2022,403231558,152,B,Major,84,74,69,21,0,18,6
Superhero (Heroes & Villains) [with Future & Chris Brown],Future . Chris Brown . Metro Boomin,2022,401036314,117,F,Minor,72,45,59,14,0,20,21
Snooze,SZA,2022,399686758,143,F,Major,56,39,55,14,0,11,13
Ditto,NewJeans,2022,397582059,134,F-sharp,Minor,81,18,64,3,0,10,11
A Holly Jolly Christmas - Single Version,Burl Ives,1952,395591396,140,unknown,Major,67,81,36,64,0,15,3
White Christmas,Bing Crosby . John Scott Trotter & His Orchestra . Ken Darby Singers,1942,395591396,96,A,Major,23,19,25,91,0,40,3
Jordan,Ryan Castro,2021,394030335,180,A-sharp,Minor,80,71,68,6,0,10,37
Is There Someone Else?,The Weeknd,2022,391251368,135,A,Minor,70,60,58,4,0,16,3
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1946,389771964,139,C-sharp,Major,36,22,15,84,0,11,4
Daylight,David Kushner,2023,387570742,130,D,Minor,51,32,43,83,0,9,3
Mary On A Cross,Ghost,2019,387080183,130,B,Major,47,56,90,0,0,10,4
Belly Dancer,BYOR . Imanbek,2022,383835984,122,C-sharp,Major,85,42,80,6,0,17,14
Smokin Out The Window,Bruno Mars . Anderson .Paak . Silk Sonic,2021,383550148,82,D,Major,63,85,62,6,0,35,4
In The Stars,Benson Boone,2022,382199619,78,A-sharp,Major,36,30,54,34,0,14,5
Punto G,Quevedo,2022,381161027,92,B,Minor,75,55,76,25,0,10,15
Selfish,PnB Rock,2016,380319238,102,C-sharp,Minor,64,4,60,11,0,19,4
Praise God,Kanye West,2021,376333030,118,C-sharp,Major,80,21,55,1,0,26,17
Tiago PZK: Bzrp Music Sessions . Vol. 48,Bizarrap . Tiago pzk,2021,374191487,96,C-sharp,Minor,66,76,82,47,0,10,32
People,Libianca,2022,373199958,198,A-sharp,Minor,59,71,42,55,0,10,7
Bloody Mary,Lady Gaga,2011,372476382,100,A,Minor,59,49,65,2,0,13,3
Alien Blues,Vundabar,2015,370068639,82,D-sharp,Major,47,44,76,8,91,9,3
Something In The Way - Remastered 2021,Nirvana,1991,368646862,106,G-sharp,Major,44,8,20,74,42,11,3
You Proof,Morgan Wallen,2022,367814306,120,A,Major,73,64,85,25,0,61,3
Bebe Dame,Fuerza Regida . Grupo Frontera,2022,367316268,157,G,Major,54,75,60,30,0,7,5
"Kesariya (From ""Brahmastra"")",Pritam . Arijit Singh . Amitabh Bhattacharya,2022,366599607,94,unknown,Major,58,44,57,57,0,10,3
Matilda,Harry Styles,2022,366214458,114,D,Major,51,39,29,90,0,10,4
Hype Boy,NewJeans,2022,363472647,100,E,Minor,59,78,94,27,0,29,23
Acapulco,Jason Derulo,2021,363467642,122,A-sharp,Major,77,51,79,5,0,16,5
Like Crazy,Jimin,2023,363369738,120,G,Major,63,36,73,0,0,36,4
Vista Al Mar,Quevedo,2022,362361576,105,unknown,Minor,76,49,56,80,12,10,13
METAMORPHOSIS,INTERWORLD,2021,357580552,175,G,Minor,59,15,64,43,90,12,10
I Hate U,SZA,2021,356709897,107,G,Minor,54,41,39,51,0,11,16
Ley Seca,Anuel Aa . Jhay Cortez,2021,355219175,105,G-sharp,Major,76,58,84,10,0,13,10
El Azul,Junior H . Peso Pluma,2023,354495408,144,A,Minor,56,84,65,23,0,10,6
Sad Girlz Luv Money Remix (feat. Kali Uchis),Kali Uchis . Amaarae . Moliy,2021,354065229,110,C-sharp,Minor,86,31,53,43,0,11,6
Merry Christmas Everyone,Shakin' Stevens,1984,351636786,101,C-sharp,Minor,72,91,87,14,0,13,3
Fingers Crossed,Lauren Spencer Smith . Lauren Spencer Smith . Lauren Spencer Smith,2022,349585590,109,F,Major,60,45,47,62,0,31,5
You're On Your Own . Kid,Taylor Swift,2022,348647203,120,D,Major,69,40,39,41,0,13,6
this is what falling in love feels like,JVKE,2021,346127840,129,B,Major,42,33,44,62,0,8,6
The Feels,TWICE,2021,345903614,120,A,Major,81,92,90,9,0,8,7
CHORRITO PA LAS ANIMAS,Feid,2022,345031710,96,G-sharp,Minor,74,61,83,11,0,35,6
Andrea,Buscabulla . Bad Bunny,2022,344055883,103,C-sharp,Minor,80,45,62,76,0,10,38
she's all i wanna be,Tate McRae,2022,343197054,160,D,Minor,61,65,64,1,0,12,4
Nonsense,Sabrina Carpenter,2022,342897938,139,G-sharp,Major,74,68,68,3,0,26,4
Super Gremlin,Kodak Black,2021,342779426,73,D,Major,83,11,41,0,0,36,14
Out of Time,The Weeknd,2022,339659802,93,unknown,Minor,65,82,74,27,0,32,5
Demasiadas Mujeres,C. Tangana,2020,339473453,126,A,Minor,67,37,46,13,0,10,39
TV,Billie Eilish,2022,338564981,141,E,Minor,41,9,25,84,1,14,4
Dos Mil 16,Bad Bunny,2022,338422004,130,C-sharp,Major,82,50,67,12,0,13,5
Classy 101,Feid . Young Miko,2023,335222234,100,B,Major,86,67,66,14,0,12,16
Players,Coi Leray,2022,335074782,105,F-sharp,Major,95,62,52,3,0,5,16
Music For a Sushi Restaurant,Harry Styles,2022,334733572,107,B,Major,72,36,72,26,6,11,4
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2022,332506354,142,D,Minor,64,31,72,15,0,9,5
Run BTS,BTS,2022,330881149,77,G-sharp,Major,72,70,82,2,0,4,17
Por las Noches,Peso Pluma,2021,330346424,92,unknown,Major,81,39,60,31,0,7,3
Bejeweled,Taylor Swift,2022,328207708,164,G,Major,70,39,56,6,0,9,7
Excuses,Intense . AP Dhillon . Gurinder Gill,2020,327498031,95,F,Minor,84,49,72,8,0,15,8
Sacrifice,The Weeknd,2022,326792833,122,G,Major,70,91,79,3,0,7,10
JGL,Luis R Conriquez . La Adictiva,2022,323455692,113,G-sharp,Major,70,97,59,55,0,27,12
Snow On The Beach (feat. Lana Del Rey),Taylor Swift . Lana Del Rey,2022,323437194,110,A,Major,66,19,32,69,0,12,4
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],BTS . Jung Kook . FIFA Sound,2022,323358833,115,unknown,Major,71,34,88,16,0,44,4
Ya No Somos Ni Seremos,Christian Nodal,2022,319757142,140,G,Major,59,73,45,44,0,34,3
Maan Meri Jaan,King,2022,319566866,96,F-sharp,Minor,70,40,51,35,0,10,4
Maroon,Taylor Swift,2022,317726339,108,G,Major,64,4,40,6,0,10,6
Christmas Tree,V,2021,317622165,139,F,Major,44,18,38,70,0,12,4
Yo No Soy Celoso,Bad Bunny,2022,313113297,142,unknown,Major,87,93,59,28,0,17,5
La Zona,Bad Bunny,2020,312622938,94,C-sharp,Minor,76,81,80,20,0,25,4
Satellite,Harry Styles,2022,311482393,139,unknown,Major,58,30,46,14,0,9,3
pushin P (feat. Young Thug),Young Thug . Future . Gunna,2022,311395144,78,C-sharp,Minor,77,49,42,1,1,13,19
Shirt,SZA,2022,309653982,120,D-sharp,Minor,82,55,45,15,3,9,10
Besos Moja2,Wisin & Yandel . ROSALï¿½,2022,309483971,94,F,Minor,74,64,73,6,0,10,6
ULTRA SOLO,Polima WestCoast . Pailita,2022,307752576,110,C-sharp,Major,80,26,85,23,0,11,21
Fin de Semana,Oscar Maydon . Junior H,2023,307370144,98,unknown,Major,70,37,54,6,0,9,8
LOVE DIVE,IVE,2022,305771063,118,C-sharp,Minor,70,54,71,0,0,33,4
Me Fui de Vacaciones,Bad Bunny,2022,305650299,85,A-sharp,Major,71,43,65,23,0,9,5
Gato de Noche,Nengo Flow . Bad Bunny,2022,304118600,94,G-sharp,Major,89,61,66,17,0,36,16
PUNTO 40,Baby Rasta . Rauw Alejandro,2022,304079786,107,unknown,Major,87,20,83,0,4,31,9
WHERE SHE GOES,Bad Bunny,2023,303236322,144,A,Minor,65,23,80,14,63,11,6
