title,artist(s),release,num_of_streams,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Stefania (Kalush Orchestra),KALUSH,2022,53729194,105,D,Major,83,32,82,14,0,12,4
Mirror,Kendrick Lamar,2022,53603447,92,E,Minor,66,29,65,23,0,8,7
HAPPY,NF,2023,52722996,106,G,Major,73,22,86,31,0,12,4
TULUM,Peso Pluma . Grupo Frontera,2023,52294266,168,F-sharp,Major,56,63,87,39,0,11,5
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey . Suga,2023,51985779,84,A,Minor,43,14,74,1,0,19,8
Far,SZA,2022,51641685,116,D,Major,61,48,55,67,0,16,8
Mejor Que Yo,Mambo Kingz . DJ Luian . Anuel Aa,2023,50847624,178,C-sharp,Minor,62,56,66,18,0,12,5
Worst Day,Future,2022,50746620,89,C-sharp,Major,65,60,60,11,0,10,40
Too Late,SZA,2022,49262961,128,B,Major,45,35,68,78,0,39,8
Cheques,Shubh,2023,47956378,90,E,Minor,74,36,63,26,0,27,5
XQ Te Pones Asï¿,Yandel . Feid,2022,47093942,92,A-sharp,Major,81,48,70,13,0,15,7
Karma (feat. Ice Spice),Taylor Swift . Ice Spice,2023,46142772,90,G-sharp,Major,62,7,62,6,0,58,6
Stand By Me (feat. Morgan Wallen),Lil Durk . Morgan Wallen,2023,46065667,134,B,Major,76,61,58,6,0,16,3
Crown,Kendrick Lamar,2022,42485571,170,C-sharp,Minor,37,14,24,80,0,11,4
A Tale By Quincy,The Weeknd,2022,41924466,94,F,Minor,46,55,50,71,0,10,11
Rich - Interlude,Kendrick Lamar,2022,41210087,104,G,Major,44,74,42,88,0,9,9
Curtains,Ed Sheeran,2023,39893489,176,F-sharp,Minor,50,44,76,10,0,32,5
Hummingbird (Metro Boomin & James Blake),James Blake . Metro Boomin,2023,39666245,81,F-sharp,Major,59,26,60,46,1,25,13
Enchanted (Taylor's Version),Taylor Swift,2023,39578178,82,G-sharp,Major,51,22,53,1,0,15,3
